date,cpu_temp,fan_speed,pwm_value,watt
2024-04-05-15:24:01,40.6,1437,177,21.39
2024-04-05-15:24:03,55.5,1434,177,238.62
2024-04-05-15:24:06,57.9,1431,177,241.30
2024-04-05-15:24:08,58.6,1443,177,238.84
2024-04-05-15:24:10,59.0,1440,177,256.53
2024-04-05-15:24:13,59.5,1425,177,249.79
2024-04-05-15:24:15,59.8,1427,177,237.00
2024-04-05-15:24:18,60.0,1440,177,240.33
2024-04-05-15:24:20,60.1,1448,177,239.07
2024-04-05-15:24:22,60.2,1431,177,238.80
2024-04-05-15:24:25,60.5,1433,177,238.72
2024-04-05-15:24:27,60.6,1421,171,241.72
2024-04-05-15:24:30,60.8,1396,171,244.65
2024-04-05-15:24:32,61.1,1383,171,256.13
2024-04-05-15:24:34,61.2,1384,171,255.47
2024-04-05-15:24:37,61.6,1371,177,242.15
2024-04-05-15:24:39,62.1,1421,177,243.35
2024-04-05-15:24:41,62.1,1430,177,244.86
2024-04-05-15:24:44,62.0,1421,177,243.12
2024-04-05-15:24:46,61.9,1421,177,244.72
2024-04-05-15:24:49,62.0,1427,177,243.90
2024-04-05-15:24:51,62.0,1427,177,238.64
2024-04-05-15:24:53,62.2,1410,177,238.95
2024-04-05-15:24:56,62.5,1424,177,237.86
2024-04-05-15:24:58,62.2,1428,177,261.79
2024-04-05-15:25:00,62.1,1424,177,252.63
2024-04-05-15:25:03,62.1,1454,177,238.35
2024-04-05-15:25:05,62.0,1434,177,238.45
2024-04-05-15:25:08,61.9,1412,177,238.62
2024-04-05-15:25:10,62.0,1436,177,237.69
2024-04-05-15:25:12,62.1,1424,177,241.11
2024-04-05-15:25:15,62.4,1437,177,240.30
2024-04-05-15:25:17,62.5,1407,177,239.95
2024-04-05-15:25:19,62.6,1440,177,240.10
2024-04-05-15:25:22,62.6,1456,177,254.91
2024-04-05-15:25:24,62.5,1427,177,262.22
2024-04-05-15:25:27,62.4,1428,177,236.23
2024-04-05-15:25:29,62.5,1410,177,236.53
2024-04-05-15:25:31,62.9,1424,177,237.91
2024-04-05-15:25:34,62.8,1440,177,240.35
2024-04-05-15:25:36,62.8,1421,177,239.08
2024-04-05-15:25:38,62.8,1446,177,237.27
2024-04-05-15:25:41,62.8,1418,177,235.40
2024-04-05-15:25:43,63.2,1439,177,241.24
2024-04-05-15:25:45,63.2,1433,177,238.48
2024-04-05-15:25:48,63.0,1421,177,236.85
2024-04-05-15:25:50,63.0,1418,177,263.52
2024-04-05-15:25:52,63.0,1446,177,253.54
2024-04-05-15:25:55,63.0,1450,177,237.68
2024-04-05-15:25:57,63.0,1443,177,238.87
2024-04-05-15:26:00,63.1,1446,177,241.20
2024-04-05-15:26:02,63.1,1430,177,238.96
2024-04-05-15:26:04,63.2,1424,177,240.72
2024-04-05-15:26:07,63.1,1433,177,240.30
2024-04-05-15:26:09,63.1,1446,183,239.92
2024-04-05-15:26:11,63.1,1454,183,239.89
2024-04-05-15:26:14,63.0,1454,183,235.21
2024-04-05-15:26:16,63.0,1480,183,262.44
2024-04-05-15:26:18,63.0,1467,183,253.53
2024-04-05-15:26:21,64.2,1456,183,241.64
2024-04-05-15:26:23,64.9,1478,183,238.67
2024-04-05-15:26:25,65.4,1456,183,244.94
2024-04-05-15:26:28,65.6,1451,183,241.40
2024-04-05-15:26:30,65.4,1475,183,239.74
2024-04-05-15:26:33,64.8,1450,183,240.29
2024-04-05-15:26:35,64.4,1467,183,238.97
2024-04-05-15:26:37,64.1,1483,190,243.93
2024-04-05-15:26:40,64.1,1498,190,239.48
2024-04-05-15:26:42,64.2,1506,190,255.56
2024-04-05-15:26:44,64.0,1498,190,257.40
2024-04-05-15:26:47,63.6,1535,190,243.72
2024-04-05-15:26:49,63.5,1513,190,240.32
2024-04-05-15:26:52,63.4,1532,190,239.10
2024-04-05-15:26:54,63.4,1511,190,239.48
2024-04-05-15:26:56,63.2,1506,190,240.01
2024-04-05-15:26:59,63.5,1535,190,247.58
2024-04-05-15:27:01,64.8,1511,190,241.10
2024-04-05-15:27:03,64.8,1523,190,235.59
2024-04-05-15:27:06,64.6,1523,190,238.09
2024-04-05-15:27:08,64.2,1516,196,244.34
2024-04-05-15:27:10,63.9,1527,196,255.51
2024-04-05-15:27:13,63.6,1542,196,263.22
2024-04-05-15:27:15,63.5,1532,196,239.17
2024-04-05-15:27:18,63.4,1571,190,238.08
2024-04-05-15:27:20,63.2,1518,190,234.03
2024-04-05-15:27:22,63.2,1513,190,236.58
2024-04-05-15:27:25,63.1,1520,190,234.55
2024-04-05-15:27:27,63.1,1516,190,234.47
2024-04-05-15:27:29,63.1,1515,190,232.42
2024-04-05-15:27:32,63.1,1530,190,232.96
2024-04-05-15:27:34,63.0,1520,190,234.96
2024-04-05-15:27:36,63.0,1511,190,234.77
2024-04-05-15:27:39,63.1,1527,196,253.29
2024-04-05-15:27:41,63.1,1571,196,256.64
2024-04-05-15:27:44,63.1,1560,196,238.59
2024-04-05-15:27:46,63.2,1553,196,235.89
2024-04-05-15:27:48,63.1,1553,196,234.59
2024-04-05-15:27:51,63.1,1546,196,232.73
2024-04-05-15:27:53,63.2,1569,196,233.53
2024-04-05-15:27:55,63.2,1527,196,235.61
2024-04-05-15:27:58,63.1,1573,196,235.59
2024-04-05-15:28:00,63.1,1549,196,229.43
2024-04-05-15:28:02,63.0,1562,196,234.38
2024-04-05-15:28:05,63.0,1541,196,231.28
2024-04-05-15:28:07,63.0,1546,196,249.26
2024-04-05-15:28:09,63.1,1553,196,247.06
2024-04-05-15:28:12,63.1,1553,196,237.84
2024-04-05-15:28:14,63.1,1542,196,241.76
2024-04-05-15:28:16,63.1,1546,196,238.24
2024-04-05-15:28:19,63.1,1548,203,236.40
2024-04-05-15:28:21,63.0,1597,203,237.78
2024-04-05-15:28:23,63.0,1609,203,238.83
2024-04-05-15:28:26,63.0,1609,203,240.74
2024-04-05-15:28:28,63.0,1616,196,238.56
2024-04-05-15:28:30,63.1,1586,196,244.81
2024-04-05-15:28:33,63.1,1571,196,239.22
2024-04-05-15:28:35,63.1,1551,196,252.07
2024-04-05-15:28:38,63.2,1549,196,239.93
2024-04-05-15:28:40,63.2,1527,196,248.20
2024-04-05-15:28:42,63.1,1541,196,237.45
2024-04-05-15:28:45,63.4,1553,196,237.97
2024-04-05-15:28:47,63.5,1542,196,242.58
2024-04-05-15:28:49,63.6,1558,203,240.41
2024-04-05-15:28:52,63.5,1591,203,240.62
2024-04-05-15:28:54,63.5,1597,203,237.29
2024-04-05-15:28:56,63.5,1595,203,237.98
2024-04-05-15:28:59,63.4,1601,203,239.33
2024-04-05-15:29:01,63.6,1605,203,240.19
2024-04-05-15:29:03,63.9,1603,203,269.81
2024-04-05-15:29:06,64.2,1605,203,259.60
2024-04-05-15:29:08,64.2,1564,203,246.04
2024-04-05-15:29:11,64.1,1591,203,247.83
2024-04-05-15:29:13,64.2,1591,203,247.87
2024-04-05-15:29:15,64.2,1577,203,245.43
2024-04-05-15:29:18,64.1,1590,203,247.63
2024-04-05-15:29:20,63.9,1603,203,245.20
2024-04-05-15:29:22,63.8,1577,203,248.30
2024-04-05-15:29:25,64.2,1588,203,250.77
2024-04-05-15:29:27,64.4,1591,203,245.26
2024-04-05-15:29:29,64.2,1590,203,264.93
2024-04-05-15:29:32,64.6,1605,203,262.79
2024-04-05-15:29:34,64.5,1580,203,248.17
2024-04-05-15:29:37,64.4,1584,203,249.11
2024-04-05-15:29:39,64.5,1609,203,249.44
2024-04-05-15:29:41,64.1,1593,203,247.49
2024-04-05-15:29:44,63.9,1577,203,245.97
2024-04-05-15:29:46,64.0,1584,203,249.03
2024-04-05-15:29:48,64.1,1605,203,239.61
2024-04-05-15:29:51,64.1,1597,203,246.07
2024-04-05-15:29:53,64.1,1601,203,247.00
2024-04-05-15:29:55,64.2,1597,203,261.13
2024-04-05-15:29:58,64.2,1609,203,247.80
2024-04-05-15:30:00,64.0,1577,203,249.10
2024-04-05-15:30:03,64.1,1577,203,243.75
2024-04-05-15:30:05,63.9,1580,203,247.11
2024-04-05-15:30:07,63.8,1597,203,240.35
2024-04-05-15:30:10,63.9,1580,203,249.12
2024-04-05-15:30:12,63.9,1607,203,247.50
2024-04-05-15:30:14,63.8,1566,203,249.55
2024-04-05-15:30:17,63.6,1580,203,244.83
2024-04-05-15:30:19,63.6,1609,203,245.97
2024-04-05-15:30:21,63.6,1577,203,240.46
2024-04-05-15:30:24,63.6,1601,203,235.58
2024-04-05-15:30:26,63.6,1591,203,256.92
2024-04-05-15:30:28,63.6,1605,203,234.08
2024-04-05-15:30:31,63.5,1601,203,240.03
2024-04-05-15:30:33,63.5,1597,203,235.78
2024-04-05-15:30:35,63.5,1566,203,236.59
2024-04-05-15:30:38,63.5,1573,203,237.20
2024-04-05-15:30:40,63.5,1601,203,230.51
2024-04-05-15:30:42,63.4,1573,203,234.79
2024-04-05-15:30:45,63.4,1580,203,234.80
2024-04-05-15:30:47,63.4,1586,203,236.85
2024-04-05-15:30:49,63.4,1584,209,235.22
2024-04-05-15:30:52,63.4,1614,209,234.05
2024-04-05-15:30:54,63.4,1620,209,237.05
2024-04-05-15:30:56,63.4,1622,209,251.32
2024-04-05-15:30:59,63.2,1638,209,238.72
2024-04-05-15:31:01,63.2,1614,209,235.17
2024-04-05-15:31:04,63.4,1618,209,239.48
2024-04-05-15:31:06,63.4,1630,209,236.19
2024-04-05-15:31:08,63.2,1622,209,234.55
2024-04-05-15:31:11,63.4,1586,203,236.89
2024-04-05-15:31:13,63.5,1597,203,239.52
2024-04-05-15:31:15,63.4,1580,203,237.05
2024-04-05-15:31:18,63.5,1577,203,237.40
2024-04-05-15:31:20,63.4,1586,209,235.52
2024-04-05-15:31:22,63.4,1612,209,233.34
2024-04-05-15:31:25,63.4,1626,209,251.05
2024-04-05-15:31:27,63.4,1610,209,260.79
2024-04-05-15:31:30,63.4,1634,209,239.78
2024-04-05-15:31:32,63.5,1642,209,235.88
2024-04-05-15:31:34,63.5,1609,209,238.37
2024-04-05-15:31:37,63.5,1626,209,235.55
2024-04-05-15:31:39,63.5,1612,209,236.68
2024-04-05-15:31:41,63.5,1624,209,235.57
2024-04-05-15:31:44,63.4,1618,209,239.07
2024-04-05-15:31:46,63.5,1638,209,236.40
2024-04-05-15:31:48,63.5,1626,209,237.70
2024-04-05-15:31:51,63.6,1630,209,252.98
2024-04-05-15:31:53,63.6,1624,209,256.13
2024-04-05-15:31:56,63.6,1620,209,235.68
2024-04-05-15:31:58,63.6,1646,209,235.29
2024-04-05-15:32:00,63.6,1634,209,237.56
2024-04-05-15:32:03,63.6,1624,209,241.02
2024-04-05-15:32:05,63.6,1634,209,238.14
2024-04-05-15:32:07,63.6,1616,209,236.46
2024-04-05-15:32:10,63.6,1620,209,232.65
2024-04-05-15:32:12,63.6,1616,209,236.64
2024-04-05-15:32:14,63.6,1638,209,236.59
2024-04-05-15:32:17,63.6,1622,209,236.75
2024-04-05-15:32:19,63.6,1638,215,254.09
2024-04-05-15:32:21,63.6,1656,215,251.35
2024-04-05-15:32:24,63.6,1650,215,237.52
2024-04-05-15:32:26,63.6,1672,215,229.87
2024-04-05-15:32:28,63.6,1660,215,237.21
2024-04-05-15:32:31,63.6,1677,215,236.23
2024-04-05-15:32:33,63.6,1654,215,238.14
2024-04-05-15:32:35,63.6,1642,215,237.50
2024-04-05-15:32:38,63.6,1660,215,239.92
2024-04-05-15:32:40,63.6,1650,215,234.92
2024-04-05-15:32:42,63.8,1654,215,233.67
2024-04-05-15:32:45,63.6,1646,215,237.24
2024-04-05-15:32:47,63.6,1656,215,251.50
2024-04-05-15:32:50,63.6,1640,209,-65295.36
2024-04-05-15:32:52,63.6,1638,209,245.07
2024-04-05-15:32:54,63.6,1630,209,239.24
2024-04-05-15:32:57,63.6,1634,209,243.57
2024-04-05-15:32:59,63.6,1626,209,242.67
2024-04-05-15:33:01,63.6,1658,215,237.08
2024-04-05-15:33:03,63.5,1677,215,238.25
2024-04-05-15:33:06,63.4,1650,215,244.85
2024-04-05-15:33:08,63.2,1642,215,243.52
2024-04-05-15:33:11,63.1,1695,215,243.92
2024-04-05-15:33:13,63.0,1672,215,241.90
2024-04-05-15:33:15,63.2,1677,215,265.66
2024-04-05-15:33:18,63.4,1664,215,266.82
2024-04-05-15:33:20,63.5,1672,215,244.17
2024-04-05-15:33:23,63.6,1674,215,244.01
2024-04-05-15:33:25,63.4,1654,215,245.70
2024-04-05-15:33:27,63.0,1670,215,241.62
2024-04-05-15:33:30,63.4,1642,215,238.99
2024-04-05-15:33:32,63.5,1677,215,244.81
2024-04-05-15:33:34,63.6,1666,215,244.70
2024-04-05-15:33:37,63.6,1660,215,240.03
2024-04-05-15:33:39,63.6,1668,215,241.39
2024-04-05-15:33:41,63.2,1681,215,259.28
2024-04-05-15:33:44,63.4,1638,215,261.74
2024-04-05-15:33:46,63.5,1668,215,239.77
2024-04-05-15:33:49,63.6,1638,215,242.60
2024-04-05-15:33:51,63.6,1668,215,242.71
2024-04-05-15:33:53,63.6,1677,215,242.38
2024-04-05-15:33:56,63.6,1654,215,240.58
2024-04-05-15:33:58,63.6,1679,215,240.40
2024-04-05-15:34:00,63.5,1677,215,244.08
2024-04-05-15:34:03,61.4,1652,215,110.84
2024-04-05-15:34:05,58.6,1654,215,83.63
2024-04-05-15:34:07,56.5,1672,215,82.97
2024-04-05-15:34:09,56.2,1660,215,88.83
2024-04-05-15:34:11,56.0,1677,241,89.38
2024-04-05-15:34:13,54.4,1812,241,83.24
2024-04-05-15:34:15,53.4,1821,241,82.24
2024-04-05-15:34:18,53.8,1790,241,88.51
2024-04-05-15:34:20,53.9,1807,222,88.23
2024-04-05-15:34:22,53.9,1737,222,87.67
2024-04-05-15:34:24,53.8,1695,222,87.25
2024-04-05-15:34:26,52.2,1741,222,80.04
2024-04-05-15:34:28,50.1,1704,222,75.95
2024-04-05-15:34:30,48.4,1728,215,75.51
2024-04-05-15:34:32,46.8,1672,215,75.04
2024-04-05-15:34:34,45.6,1687,215,75.27
